ticker,company_name,sector_ic,subsector_ic
AADI,Adaro Andalan Indonesia Tbk.,energy,
AALI,Astra Agro Lestari Tbk.,consumer_non_cyclicals,
ABBA,Mahaka Media Tbk.,consumer_cyclicals,
ABDA,Asuransi Bina Dana Arta Tbk.,financials,
ABMM,ABM Investama Tbk.,energy,
ACES,Aspirasi Hidup Indonesia Tbk.,consumer_cyclicals,
ACRO,Samcro Hyosung Adilestari Tbk.,consumer_cyclicals,
ACST,Acset Indonusa Tbk.,infrastructures,
ADCP,Adhi Commuter Properti Tbk.,properties_real_estate,
ADES,Akasha Wira International Tbk.,consumer_non_cyclicals,
ADHI,Adhi Karya (Persero) Tbk.,infrastructures,
ADMF,Adira Dinamika Multi Finance T,financials,
ADMG,Polychem Indonesia Tbk,basic_materials,
ADMR,Alamtri Minerals Indonesia Tbk,energy,
ADRO,Alamtri Resources Indonesia Tb,energy,
AEGS,Anugerah Spareparts Sejahtera ,consumer_cyclicals,
AGAR,Asia Sejahtera Mina Tbk.,consumer_non_cyclicals,
AGII,Samator Indo Gas Tbk.,basic_materials,
AGRO,Bank Raya Indonesia Tbk.,financials,
AGRS,Bank IBK Indonesia Tbk.,financials,
AHAP,Asuransi Harta Aman Pratama Tb,financials,
AIMS,Artha Mahiya Investama Tbk.,energy,
AISA,FKS Food Sejahtera Tbk.,consumer_non_cyclicals,
AKKU,Anugerah Kagum Karya Utama Tbk,consumer_cyclicals,
AKPI,Argha Karya Prima Industry Tbk,basic_materials,
AKRA,AKR Corporindo Tbk.,energy,
AKSI,Mineral Sumberdaya Mandiri Tbk,transportasi_dan_logistik,
ALDO,Alkindo Naratama Tbk.,basic_materials,
ALII,Ancara Logistics Indonesia Tbk,energy,
ALKA,Alakasa Industrindo Tbk,basic_materials,
ALMI,Alumindo Light Metal Industry ,basic_materials,
ALTO,Tri Banyan Tirta Tbk.,consumer_non_cyclicals,
AMAG,Asuransi Multi Artha Guna Tbk.,financials,
AMAN,Makmur Berkah Amanda Tbk.,properties_real_estate,
AMAR,Bank Amar Indonesia Tbk.,financials,
AMFG,Asahimas Flat Glass Tbk.,industrials,
AMIN,Ateliers Mecaniques D Indonesi,industrials,
AMMN,Amman Mineral Internasional Tb,basic_materials,
AMMS,Agung Menjangan Mas Tbk.,consumer_non_cyclicals,
AMOR,Ashmore Asset Management Indon,financials,
AMRT,Sumber Alfaria Trijaya Tbk.,consumer_non_cyclicals,
ANDI,Andira Agro Tbk.,consumer_non_cyclicals,
ANJT,Austindo Nusantara Jaya Tbk.,consumer_non_cyclicals,
ANTM,Aneka Tambang Tbk.,basic_materials,
APEX,Apexindo Pratama Duta Tbk.,energy,
APIC,Pacific Strategic Financial Tb,financials,
APII,Arita Prima Indonesia Tbk.,industrials,
APLI,Asiaplast Industries Tbk.,basic_materials,
APLN,Agung Podomoro Land Tbk.,properties_real_estate,
ARCI,Archi Indonesia Tbk.,basic_materials,
AREA,Dunia Virtual Online Tbk.,technology,
ARGO,Argo Pantes Tbk,consumer_cyclicals,
ARII,Atlas Resources Tbk.,energy,
ARKA,Arkha Jayanti Persada Tbk.,industrials,
ARKO,Arkora Hydro Tbk.,infrastructures,
ARMY,Armidian Karyatama Tbk.,properties_real_estate,
ARNA,Arwana Citramulia Tbk.,industrials,
ARTA,Arthavest Tbk,consumer_cyclicals,
ARTI,Ratu Prabu Energi Tbk,energy,
ARTO,Bank Jago Tbk.,financials,
ASBI,Asuransi Bintang Tbk.,financials,
ASDM,Asuransi Dayin Mitra Tbk.,financials,
ASGR,Astra Graphia Tbk.,industrials,
ASHA,Cilacap Samudera Fishing Indus,consumer_non_cyclicals,
ASII,Astra International Tbk.,industrials,
ASJT,Asuransi Jasa Tania Tbk.,financials,
ASLC,Autopedia Sukses Lestari Tbk.,consumer_cyclicals,
ASLI,Asri Karya Lestari Tbk.,infrastructures,
ASMI,Asuransi Maximus Graha Persada,financials,
ASPI,Andalan Sakti Primaindo Tbk.,properties_real_estate,
ASPR,Asia Pramulia Tbk.,basic_materials,
ASRI,Alam Sutera Realty Tbk.,properties_real_estate,
ASRM,Asuransi Ramayana Tbk.,financials,
ASSA,Adi Sarana Armada Tbk.,transportasi_dan_logistik,
ATAP,Trimitra Prawara Goldland Tbk.,properties_real_estate,
ATIC,Anabatic Technologies Tbk.,technology,
ATLA,Atlantis Subsea Indonesia Tbk.,energy,
AUTO,Astra Otoparts Tbk.,consumer_cyclicals,
AVIA,Avia Avian Tbk.,basic_materials,
AWAN,Era Digital Media Tbk.,technology,
AXIO,Tera Data Indonusa Tbk.,technology,
AYAM,Janu Putra Sejahtera Tbk.,consumer_non_cyclicals,
AYLS,Agro Yasa Lestari Tbk.,basic_materials,
BABP,Bank MNC Internasional Tbk.,financials,
BABY,Multitrend Indo Tbk.,consumer_cyclicals,
BACA,Bank Capital Indonesia Tbk.,financials,
BAIK,Bersama Mencapai Puncak Tbk.,consumer_cyclicals,
BAJA,Saranacentral Bajatama Tbk.,basic_materials,
BALI,Bali Towerindo Sentra Tbk.,infrastructures,
BANK,Bank Aladin Syariah Tbk.,financials,
BAPA,Bekasi Asri Pemula Tbk.,properties_real_estate,
BAPI,Bhakti Agung Propertindo Tbk.,properties_real_estate,
BATA,Sepatu Bata Tbk.,consumer_cyclicals,
BATR,Benteng Api Technic Tbk.,basic_materials,
BAUT,Mitra Angkasa Sejahtera Tbk.,consumer_cyclicals,
BAYU,Bayu Buana Tbk,consumer_cyclicals,
BBCA,Bank Central Asia Tbk.,financials,
BBHI,Allo Bank Indonesia Tbk.,financials,
BBKP,Bank KB Indonesia Tbk.,financials,
BBLD,Buana Finance Tbk.,financials,
BBMD,Bank Mestika Dharma Tbk.,financials,
BBNI,Bank Negara Indonesia (Persero,financials,
BBRI,Bank Rakyat Indonesia (Persero,financials,
BBRM,Pelayaran Nasional Bina Buana ,energy,
BBSI,Krom Bank Indonesia Tbk.,financials,
BBSS,Bumi Benowo Sukses Sejahtera T,properties_real_estate,
BBTN,Bank Tabungan Negara (Persero),financials,
BBYB,Bank Neo Commerce Tbk.,financials,
BCAP,MNC Kapital Indonesia Tbk.,financials,
BCIC,Bank JTrust Indonesia Tbk.,financials,
BCIP,Bumi Citra Permai Tbk.,properties_real_estate,
BDKR,Berdikari Pondasi Perkasa Tbk.,infrastructures,
BDMN,Bank Danamon Indonesia Tbk.,financials,
BEBS,Berkah Beton Sadaya Tbk.,basic_materials,
BEEF,Estika Tata Tiara Tbk.,consumer_non_cyclicals,
BEER,Jobubu Jarum Minahasa Tbk.,consumer_non_cyclicals,
BEKS,Bank Pembangunan Daerah Banten,financials,
BELI,Global Digital Niaga Tbk.,technology,
BELL,Trisula Textile Industries Tbk,consumer_cyclicals,
BESS,Batulicin Nusantara Maritim Tb,energy,
BEST,Bekasi Fajar Industrial Estate,properties_real_estate,
BFIN,BFI Finance  Indonesia Tbk.,financials,
BGTG,Bank Ganesha Tbk.,financials,
BHAT,Bhakti Multi Artha Tbk.,financials,
BHIT,MNC Asia Holding Tbk.,industrials,
BIKA,Binakarya Jaya Abadi Tbk.,properties_real_estate,
BIKE,Sepeda Bersama Indonesia Tbk.,consumer_cyclicals,
BIMA,Primarindo Asia Infrastructure,consumer_cyclicals,
BINA,Bank Ina Perdana Tbk.,financials,
BINO,Perma Plasindo Tbk.,industrials,
BIPI,Astrindo Nusantara Infrastrukt,energy,
BIPP,Bhuwanatala Indah Permai Tbk.,properties_real_estate,
BIRD,Blue Bird Tbk.,transportasi_dan_logistik,
BISI,BISI International Tbk.,consumer_non_cyclicals,
BJBR,Bank Pembangunan Daerah Jawa B,financials,
BJTM,Bank Pembangunan Daerah Jawa T,financials,
BKDP,Bukit Darmo Property Tbk,properties_real_estate,
BKSL,Sentul City Tbk.,properties_real_estate,
BKSW,Bank QNB Indonesia Tbk.,financials,
BLES,Superior Prima Sukses Tbk.,basic_materials,
BLOG,Trimitra Trans Persada Tbk.,transportasi_dan_logistik,
BLTA,Berlian Laju Tanker Tbk,transportasi_dan_logistik,
BLTZ,Graha Layar Prima Tbk.,consumer_cyclicals,
BLUE,Berkah Prima Perkasa Tbk.,industrials,
BMAS,Bank Maspion Indonesia Tbk.,financials,
BMBL,Lavender Bina Cendikia Tbk.,consumer_cyclicals,
BMHS,Bundamedik Tbk.,healthcare,
BMRI,Bank Mandiri (Persero) Tbk.,financials,
BMSR,Bintang Mitra Semestaraya Tbk,basic_materials,
BMTR,Global Mediacom Tbk.,consumer_cyclicals,
BNBA,Bank Bumi Arta Tbk.,financials,
BNBR,Bakrie & Brothers Tbk,industrials,
BNGA,Bank CIMB Niaga Tbk.,financials,
BNII,Bank Maybank Indonesia Tbk.,financials,
BNLI,Bank Permata Tbk.,financials,
BOAT,Newport Marine Services Tbk.,energy,
BOBA,Formosa Ingredient Factory Tbk,consumer_non_cyclicals,
BOGA,Bintang Oto Global Tbk.,consumer_cyclicals,
BOLA,Bali Bintang Sejahtera Tbk.,consumer_cyclicals,
BOLT,Garuda Metalindo Tbk.,consumer_cyclicals,
BOSS,Borneo Olah Sarana Sukses Tbk.,energy,
BPFI,Woori Finance Indonesia Tbk.,financials,
BPII,Batavia Prosperindo Internasio,financials,
BPTR,Batavia Prosperindo Trans Tbk.,transportasi_dan_logistik,
BRAM,Indo Kordsa Tbk.,consumer_cyclicals,
BREN,Barito Renewables Energy Tbk.,infrastructures,
BRIS,Bank Syariah Indonesia Tbk.,financials,
BRMS,Bumi Resources Minerals Tbk.,basic_materials,
BRNA,Berlina Tbk.,basic_materials,
BRPT,Barito Pacific Tbk.,basic_materials,
BRRC,Raja Roti Cemerlang Tbk.,consumer_non_cyclicals,
BSBK,Wulandari Bangun Laksana Tbk.,properties_real_estate,
BSDE,Bumi Serpong Damai Tbk.,properties_real_estate,
BSIM,Bank Sinarmas Tbk.,financials,
BSML,Bintang Samudera Mandiri Lines,energy,
BSSR,Baramulti Suksessarana Tbk.,energy,
BSWD,Bank Of India Indonesia Tbk.,financials,
BTEK,Bumi Teknokultura Unggul Tbk,consumer_non_cyclicals,
BTEL,Bakrie Telecom Tbk.,infrastructures,
BTON,Betonjaya Manunggal Tbk.,basic_materials,
BTPN,Bank SMBC Indonesia Tbk.,financials,
BTPS,Bank BTPN Syariah Tbk.,financials,
BUAH,Segar Kumala Indonesia Tbk.,consumer_non_cyclicals,
